FEATURE	AVG_DEPTH	PERC_COVERAGE@500
230420_M00766_0544_000000000-KRTLG_23M05630_AKT1_AKT1_GENE	3536.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_AKT1	3536.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_BRAF_BRAF_GENE	1751.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_BRAF	1751.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_NRAS_GENE	3447.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_PTEN_GENE	3326.0	70.9
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_KRAS_GENE	6537.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_TP53_GENE	2599.0	76.7
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_PIK3CA_GENE	1781.0	64.4
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_EGFR_GENE	6915.0	98.2
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal_BRAF_GENE	2424.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Colorectal	3398.0	78.4
230420_M00766_0544_000000000-KRTLG_23M05630_GIST_PDGFRA_GENE	3666.0	91.7
230420_M00766_0544_000000000-KRTLG_23M05630_GIST_KIT_GENE	2514.0	92.3
230420_M00766_0544_000000000-KRTLG_23M05630_GIST	2911.0	92.1
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma_PTEN_GENE	3326.0	70.9
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma_IDH2_GENE	2572.0	37.8
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma_TP53_GENE	2599.0	76.7
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma_IDH1_GENE	4877.0	91.6
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma_EGFR_GENE	6915.0	98.2
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma_BRAF_GENE	2796.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Glioma	3626.0	78.1
230420_M00766_0544_000000000-KRTLG_23M05630_KIT_KIT_GENE	2514.0	92.3
230420_M00766_0544_000000000-KRTLG_23M05630_KIT	2514.0	92.3
230420_M00766_0544_000000000-KRTLG_23M05630_KRAS_KRAS_GENE	5654.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_KRAS	5654.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Lung_KRAS_GENE	6537.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Lung_EGFR_GENE	6915.0	98.2
230420_M00766_0544_000000000-KRTLG_23M05630_Lung_BRAF_GENE	2424.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Lung	5594.0	98.7
230420_M00766_0544_000000000-KRTLG_23M05630_Melanoma_NRAS_GENE	3447.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Melanoma_KIT_GENE	2514.0	92.3
230420_M00766_0544_000000000-KRTLG_23M05630_Melanoma_BRAF_GENE	2424.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Melanoma	2508.0	94.4
230420_M00766_0544_000000000-KRTLG_23M05630_NRAS_NRAS_GENE	3724.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_NRAS	3724.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_PDGFRA_PDGFRA_GENE	3666.0	91.7
230420_M00766_0544_000000000-KRTLG_23M05630_PDGFRA	3666.0	91.7
230420_M00766_0544_000000000-KRTLG_23M05630_PIK3CA_PIK3CA_GENE	1413.0	62.5
230420_M00766_0544_000000000-KRTLG_23M05630_PIK3CA	1413.0	62.5
230420_M00766_0544_000000000-KRTLG_23M05630_RET_RET_GENE	1216.0	75.4
230420_M00766_0544_000000000-KRTLG_23M05630_RET	1216.0	75.4
230420_M00766_0544_000000000-KRTLG_23M05630_Thyroid_NRAS_GENE	3447.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Thyroid_BRAF_GENE	2796.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Thyroid_RET_GENE	1210.0	70.1
230420_M00766_0544_000000000-KRTLG_23M05630_Thyroid_KRAS_GENE	6537.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Thyroid_TP53_GENE	2599.0	76.7
230420_M00766_0544_000000000-KRTLG_23M05630_Thyroid	2358.0	77.1
230420_M00766_0544_000000000-KRTLG_23M05630_TP53_TP53_GENE	2599.0	76.7
230420_M00766_0544_000000000-KRTLG_23M05630_TP53	2599.0	76.7
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_NRAS_GENE	2198.0	82.9
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_IDH1_GENE	4877.0	91.6
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_PIK3CA_GENE	2074.0	61.7
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_PDGFRA_GENE	3666.0	91.7
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_KIT_GENE	2514.0	92.3
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_EGFR_GENE	6915.0	98.2
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_BRAF_GENE	2424.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_RET_GENE	1210.0	70.1
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_PTEN_GENE	3326.0	70.9
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_KRAS_GENE	4519.0	100.0
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_IDH2_GENE	2572.0	37.8
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_TP53_GENE	2599.0	76.7
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour_ERBB2_GENE	4181.0	91.6
230420_M00766_0544_000000000-KRTLG_23M05630_Tumour	3313.0	82.7
