## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CollectHsMetrics BAIT_INTERVALS=[NGHS-102X_ROI.interval_list] TARGET_INTERVALS=[NGHS-102X_ROI.interval_list] INPUT=230420_M00766_0544_000000000-KRTLG_23M05386.bam OUTPUT=230420_M00766_0544_000000000-KRTLG_23M05386_hs_metrics.txt REFERENCE_SEQUENCE=/data/resources/human/gatk/2.8/b37/human_g1k_v37.fasta    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 21 15:09:31 UTC 2023

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NGHS-102X_ROI	3101804739	23419	23419	1	103992	103992	103992	1	1	103992	1	9648442	9648442	9648442	0	0	9645954	1	0	1	411.992058	411.885819	146	0.672281	0.672108	132448.214655	0	0	0.00001	0.000248	0	0	10.045996	0.983731	0.969555	0.935907	0.883727	0.845339	0.806055	0.76724	0.638157		0	0	0	0	0	0	14.152557	1.639513	0.972122	16			

## HISTOGRAM	java.lang.Integer
coverage	count	baseq_count
0	381	0
1	332	0
2	97	0
3	46	0
4	1	0
5	200	0
6	150	0
7	1	0
8	263	0
9	30	0
10	285	0
11	46	0
12	194	0
13	1	0
14	145	32
15	84	148
16	219	3813
17	0	636
18	68	1939
19	180	303
20	98	616
21	122	13
22	3	0
23	63	0
24	12	0
25	264	0
26	6	6
27	107	31
28	188	380
29	36	3450
30	0	4475
31	160	5142
32	5	34460
33	121	52246
34	2	50584
35	87	11805
36	145	3145
37	108	58867
38	192	5936
39	100	7251
40	102	9400676
41	172	0
42	22	0
43	140	0
44	15	0
45	28	0
46	74	0
47	261	0
48	1	0
49	94	0
50	63	0
51	206	0
52	31	0
53	86	0
54	0	0
55	0	0
56	177	0
57	77	0
58	52	0
59	0	0
60	0	0
61	23	0
62	0	0
63	5	0
64	371	0
65	105	0
66	0	0
67	33	0
68	0	0
69	1	0
70	47	0
71	0	0
72	102	0
73	0	0
74	2	0
75	17	0
76	145	0
77	33	0
78	51	0
79	7	0
80	110	0
81	82	0
82	104	0
83	85	0
84	3	0
85	115	0
86	88	0
87	0	0
88	10	0
89	90	0
90	209	0
91	7	0
92	121	0
93	0	0
94	17	0
95	22	0
96	0	0
97	0	0
98	5	0
99	321	0
100	112	0
101	80	0
102	1	0
103	4	0
104	189	0
105	22	0
106	66	0
107	93	0
108	11	0
109	200	0
110	86	0
111	11	0
112	105	0
113	0	0
114	1	0
115	127	0
116	81	0
117	63	0
118	95	0
119	226	0
120	3	0
121	77	0
122	114	0
123	78	0
124	65	0
125	193	0
126	0	0
127	0	0
128	26	0
129	176	0
130	32	0
131	14	0
132	1	0
133	52	0
134	0	0
135	16	0
136	56	0
137	167	0
138	130	0
139	0	0
140	102	0
141	41	0
142	93	0
143	107	0
144	4	0
145	55	0
146	106	0
147	0	0
148	11	0
149	150	0
150	164	0
151	44	0
152	165	0
153	12	0
154	104	0
155	107	0
156	46	0
157	4	0
158	2	0
159	41	0
160	0	0
161	14	0
162	137	0
163	10	0
164	148	0
165	0	0
166	0	0
167	0	0
168	0	0
169	25	0
170	3	0
171	8	0
172	93	0
173	113	0
174	1	0
175	0	0
176	104	0
177	114	0
178	138	0
179	49	0
180	18	0
181	0	0
182	0	0
183	0	0
184	0	0
185	2	0
186	40	0
187	84	0
188	32	0
189	12	0
190	27	0
191	185	0
192	66	0
193	19	0
194	98	0
195	0	0
196	2	0
197	13	0
198	78	0
199	3	0
200	9178	0

